Image Filename,Center RGB R,Center RGB G,Center RGB B,Mean RGB R,Mean RGB G,Mean RGB B,StdDev RGB R,StdDev RGB G,StdDev RGB B,Mode
20230728.png,103,105,66,105.56,107.56,68.56,3.9200000000000004,3.9200000000000004,3.9200000000000004,0
20230711.png,118,125,81,117.36,124.0,79.88,2.330321866180721,2.0591260281974,1.9249935064825543,0
20230711.png,100,119,64,97.48,120.92,61.56,5.579390647732062,4.127178212774437,4.758823383988945,0
20230711.png,141,133,97,144.56,135.04,98.6,4.858641785519899,5.488023323565598,5.782732917920384,0
20230711.png,132,156,94,124.4,150.12,83.24,4.363484845854287,4.421040601487393,6.3892409564830155,0
20230711.png,98,119,63,94.56,118.24,61.04,2.728809264129687,4.062314611154582,3.142992204890111,0
20230711.png,90,129,62,92.16,128.72,60.96,4.822281617657766,3.4002352859765455,2.763765547219952,0
20230711.png,105,130,65,101.2,128.84,64.84,3.212475680841802,1.9935897271003378,2.5088642848906755,0
20230711.png,99,113,64,99.48,112.96,63.88,5.337564987894762,3.4465054765660827,2.8329489935401235,0
20230711.png,102,122,63,100.88,124.4,63.48,2.1414014102918677,5.114684741017769,3.125635935293809,0
20230711.png,121,120,76,120.28,119.68,76.08,2.1637005338077633,1.7371240600486768,1.6228370220080635,0
20230623.png,103,130,75,101.56,127.96,71.4,6.177896082000729,7.00559776179021,7.647221717722064,0
20230623.png,136,120,86,135.36,123.08,87.96,4.444142211945966,3.4862013711201483,3.76807643234582,0
20230623.png,118,119,85,112.84,114.64,80.44,4.838842836877428,3.642856022408792,4.817302149543871,0
20230623.png,105,119,70,106.2,119.04,70.64,3.7841775856848994,2.6755186413105023,2.414622123645851,0
20230623.png,115,112,79,110.88,107.88,74.88,2.874995652170625,2.874995652170625,2.874995652170625,0
20230623.png,111,114,69,108.12,119.76,70.84,6.015446783074387,3.301878253358231,4.763863977907009,0
20230623.png,130,130,92,130.56,129.92,92.32,4.050481452864585,3.804418483815891,3.319277029715958,0
20230623.png,102,135,64,98.84,131.84,60.84,2.6027677575995902,2.6027677575995902,2.6027677575995902,0
20230623.png,97,125,67,98.04,125.84,68.04,2.009577069932875,2.508864284890675,2.7492544443903326,0
20230623.png,84,112,54,86.72,113.76,57.24,1.536749816983884,2.1218859535799752,2.1218859535799757,0
20230623.png,112,123,63,110.52,123.4,62.68,2.2824548188299367,2.5612496949731387,1.7600000000000007,0
20230523.png,94,130,69,97.4,130.16,68.84,4.800000000000001,2.2392856003645445,2.8799999999999994,0
20230523.png,86,126,53,90.6,127.48,56.84,5.027922035990614,2.247131504830102,3.7167727937015465,0
20230523.png,102,125,69,103.48,126.48,70.48,2.1188676221038443,2.1188676221038443,2.1188676221038443,0
20230523.png,122,130,93,121.08,128.32,91.64,2.0960916010518242,5.7877111192594946,3.824970588122215,0
20230523.png,91,118,63,89.04,116.96,62.44,4.694507428900289,4.625840464175133,7.6266899766543546,0
20230523.png,94,127,56,94.64,127.24,57.84,4.663732410848633,4.684271554895168,4.90452851964386,0
20230523.png,102,127,62,100.16,129.56,64.12,4.687685996309907,2.8716545753276113,2.6278508329050942,0
20230523.png,97,125,64,98.48,125.6,64.48,4.842478704134898,1.3564659966250534,2.193080025899648,0
20230523.png,107,131,71,110.0,131.2,73.48,5.782732917920384,5.513619500836088,5.0368243963831025,0
20230508.png,104,133,67,105.72,134.72,68.72,3.5385872887354344,3.5385872887354344,3.5385872887354344,0
20230508.png,99,120,64,99.52,119.68,64.4,6.794821557627544,2.8102668912400466,4.12795348811006,0
20230508.png,114,124,74,110.0,124.0,73.48,6.566582063752802,4.6303347611160905,4.428272800991376,0
20230508.png,104,115,72,115.12,120.56,80.4,14.373085959528662,9.834958057866846,12.393546707863734,0
20230508.png,88,121,74,87.16,114.72,66.12,11.474075126126724,9.676858994529164,5.9954649527788915,0
20230508.png,120,128,87,115.16,123.56,82.24,8.22036495540192,7.668533106142268,4.188364836066697,0
20230508.png,101,132,73,105.16,131.0,74.32,10.802518224932555,6.56048778674269,7.075139574594978,0
20230508.png,92,122,60,92.16,121.36,60.24,2.013554071784515,2.0953281365934067,2.581162528784269,0
20230508.png,98,133,67,94.48,130.8,62.72,2.2112439937736403,2.9529646120466797,2.0884443971530584,0
20230428.png,95,125,61,95.48,126.24,62.2,4.980923609131142,2.1406541056415445,4.445222154178573,0
20230428.png,72,111,46,79.24,108.6,52.04,4.5279575969746,7.144228439796701,2.675518641310503,0
20230428.png,85,135,50,95.96,145.56,61.96,7.389073013578903,8.256294568388412,7.820383622303959,0
20230428.png,93,116,60,90.24,120.0,58.88,5.179034659084644,3.4292856398964493,3.547618919782676,0
20230428.png,102,125,73,101.08,127.04,70.08,7.924241288602966,5.102783554100645,8.48490424224104,0
20230428.png,93,123,61,92.2,121.88,59.48,5.621387729022079,2.122639865827456,3.742940020892667,0
20230422.png,100,125,59,101.72,126.32,62.72,2.1451340284467078,2.2399999999999998,3.117948043184812,0
20230422.png,92,115,59,93.24,116.64,60.24,3.6472455360175573,2.4311314238436403,2.687452325158532,0
20230422.png,109,126,72,109.04,126.04,71.84,1.9693653800145872,1.0762899237658967,0.783836717690617,0
20230422.png,76,102,54,74.08,100.28,51.68,3.058365576578445,3.206493411812972,2.908195316686965,0
